well_id,structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,donor,suit_x,suit_y,suit_z,Y
8403,4740,75,8403,CB,He-Crus II,"Crus II, left, lateral hemisphere",1110909,131,128,150,-40.20945757782911,-80.1549756848881,-42.7222481880981,10021,-39,-78,-41,0.5121307840401476
8381,4773,63,8381,CB,He-Crus II,"Crus II, right, lateral hemisphere",1110921,59,135,123,39.07866373281279,-49.4548297585269,-50.6927908873775,10021,44,-49,-50,0.7197118353843689
8389,4773,63,8389,CB,He-Crus II,"Crus II, right, lateral hemisphere",1110922,59,131,128,40.4906313441529,-56.3300145180353,-47.3531667472975,10021,44,-55,-44,0.43467347962515696
8445,4774,64,8445,CB,He-VIIB,"VIIB, right, lateral hemisphere",1110846,65,138,131,34.2575765706636,-59.3473906661742,-55.261389055811,10021,37,-57,-53,0.6574041489511728
8358,4775,64,8358,CB,He-VIIIA,"VIIIA, right, lateral hemisphere",1110849,65,141,140,34.5482723947413,-70.0096873342086,-58.767149328828296,10021,37,-67,-56,0.6639484257409067
8366,4775,64,8366,CB,He-VIIIA,"VIIIA, right, lateral hemisphere",1110848,65,144,130,33.0363381958787,-59.5365225131042,-60.53917654341721,10021,37,-56,-60,0.5858837723731994
8437,4771,64,8437,CB,He-VI,"VI, right, lateral hemisphere",1110861,65,112,122,36.1695381157365,-49.8666311671514,-25.401894700883,10021,37,-49,-21,0.5112495124340057
8397,4772,64,8397,CB,He-Crus I,"Crus I, right, lateral hemisphere",1110834,65,123,153,32.0679293632096,-82.8277239159813,-36.6694678236068,10021,36,-82,-33,0.056680029430599126
8405,4773,64,8405,CB,He-Crus II,"Crus II, right, lateral hemisphere",1110836,65,128,146,32.7530434516493,-75.78733198207841,-43.2634006837103,10021,37,-74,-40,0.3293674556681743
8413,4772,64,8413,CB,He-Crus I,"Crus I, right, lateral hemisphere",1110835,66,114,145,30.5151957478303,-71.9413113306565,-25.773847788168503,10021,35,-73,-24,0.8205853849649429
8421,4773,64,8421,CB,He-Crus II,"Crus II, right, lateral hemisphere",1110837,65,132,151,32.363863364133394,-81.68655316437321,-47.2998634315473,10021,37,-80,-45,0.4025417153651898
8391,4752,67,8391,CB,PV-IV,"IV, right, paravermis",1110008,82,110,111,14.959799993079,-36.24248723175221,-24.2955077854884,10021,18,-37,-19,0.32838052821656066
8399,4753,67,8399,CB,PV-V,"V, right, paravermis",1110011,82,105,126,16.9384003404118,-50.816322602673104,-16.3109367434885,10021,18,-53,-13,0.24680023321083613
8407,4752,67,8407,CB,PV-IV,"IV, right, paravermis",1110045,82,115,112,14.7609263896022,-37.6964896111043,-30.1988849187474,10021,18,-38,-25,0.21168005060065875
8415,4753,67,8415,CB,PV-V,"V, right, paravermis",1110046,82,107,115,14.9267382730544,-39.6982459465304,-20.3472329592078,10021,17,-41,-16,0.3518441283986682
8438,4759,67,8438,CB,PV-VIIIA,"VIIIA, right, paravermis",1110031,83,136,147,13.6249487062801,-75.1634692181883,-53.1488581600392,10021,17,-75,-50,0.8087476028336419
8359,4761,67,8359,CB,PV-IX,"IX, right, paravermis",1110029,83,133,129,14.3429391339372,-56.549208226182,-49.85385390516461,10021,16,-54,-47,0.594686838487784
8367,4759,67,8367,CB,PV-VIIIA,"VIIIA, right, paravermis",1110034,83,139,139,13.7033033911013,-67.7590218909898,-55.172851802354096,10021,17,-66,-54,0.3050136667277132
8375,4760,67,8375,CB,PV-VIIIB,"VIIIB, right, paravermis",1110033,83,132,133,14.4176855710372,-61.1079905733145,-48.49181575946101,10021,16,-59,-46,0.37513028413057325
8383,4761,67,8383,CB,PV-IX,"IX, right, paravermis",1110032,82,133,129,15.5049033453596,-56.6339945371165,-49.741609838297,10021,17,-54,-47,0.588049154728651
8374,4755,67,8374,CB,PV-VI,"VI, right, paravermis",1110055,82,111,138,16.2864636288566,-66.6817381973068,-23.6158584092069,10021,18,-65,-21,0.31631551765733296
8382,4756,67,8382,CB,PV-Crus I,"Crus I, right, paravermis",1110052,82,117,159,13.851642781926,-88.10093505277041,-28.2894079454934,10021,18,-88,-26,0.3820085736612479
8390,4757,67,8390,CB,PV-Crus II,"Crus II, right, paravermis",1110051,83,129,156,12.2834879489133,-85.7346642341228,-43.79378184319951,10021,16,-85,-41,0.08563736743397182
8398,4758,67,8398,CB,PV-VIIB,"VIIB, right, paravermis",1110050,83,130,154,12.3046307956714,-83.81308521441571,-45.4293832047161,10021,16,-83,-42,0.07884240882205111
8406,4755,67,8406,CB,PV-VI,"VI, right, paravermis",1110056,82,111,149,16.138970634360398,-79.03822053780841,-24.1087547890724,10021,18,-76,-21,0.6159051424927182
8414,4756,67,8414,CB,PV-Crus I,"Crus I, right, paravermis",1110054,82,114,152,15.427073971517697,-81.5900164107089,-26.8901648516577,10021,18,-79,-25,0.39558333062356515
8422,4757,67,8422,CB,PV-Crus II,"Crus II, right, paravermis",1110053,82,123,148,14.5581678574291,-78.18424021459809,-37.7437644628217,10021,17,-75,-35,0.5243382851282755
8430,4758,67,8430,CB,PV-VIIB,"VIIB, right, paravermis",1110049,83,132,152,12.6082617138588,-81.3551569633999,-48.3513493857424,10021,16,-80,-45,0.319533616969628
8440,4701,69,8440,CB,Ve-III,III,1110745,92,102,118,2.52853063484525,-42.5804876566328,-15.0766712744924,10021,5,-44,-10,0.2474026396161034
8448,4711,69,8448,CB,Ve-IX,IX,1110747,93,133,132,2.01751638411129,-59.8486427811585,-50.771182960652,10021,5,-57,-47,0.08877108109715794
8369,4701,69,8369,CB,Ve-III,III,1110746,92,108,116,2.6187394794750603,-40.9125366878094,-21.1982525123775,10021,6,-42,-17,0.1779648791188779
8377,4711,69,8377,CB,Ve-IX,IX,1110749,93,119,127,1.66951530615706,-53.5059666472807,-34.7789453407195,10021,5,-55,-31,0.5091979771852493
8385,4713,69,8385,CB,Ve-X,X,1110750,93,132,129,2.00594991027968,-56.2330521147196,-49.7124947599201,10021,5,-55,-46,0.0685592703220825
8392,4702,69,8392,CB,Ve-IV,IV,1110731,92,92,129,2.21267375559742,-54.04070484870999,0.659750419710857,10021,5,-55,3,0.5173816680908203
8400,4703,69,8400,CB,Ve-V,V,1110728,92,102,136,2.34591721316772,-63.2299301176877,-13.041608871971,10021,6,-63,-10,0.3804317685690793
8408,4705,69,8408,CB,Ve-VI,VI,1110729,92,103,145,1.7888522791211598,-72.7021060278594,-14.78290163101,10021,5,-73,-11,0.6181189682748582
8416,4702,69,8416,CB,Ve-IV,IV,1110732,92,103,126,2.53990271288555,-50.73641997169821,-14.2673334539748,10021,6,-52,-10,0.244896495028546
8424,4703,69,8424,CB,Ve-V,V,1110727,91,99,138,3.4545075648366703,-66.1033593718129,-8.156968206328651,10021,7,-65,-6,0.4472551643848419
8432,4705,69,8432,CB,Ve-VI,VI,1110730,92,107,136,2.8136400137939,-63.7178832126239,-19.8709254525073,10021,6,-63,-17,0.3814057720558984
8423,4707,69,8423,CB,Ve-VIIAt,VIIAt,1110735,92,118,153,3.09483369699594,-83.02722173457029,-34.011240272118,10021,6,-81,-28,0.6546258221973072
8431,4708,69,8431,CB,Ve-VIIB,VIIB,1110737,93,117,143,1.94598896509142,-72.68754535866191,-32.7763233222751,10021,5,-71,-29,0.49024614070852596
8439,4709,69,8439,CB,Ve-VIIIA,VIIIA,1110738,93,128,138,2.52567678330904,-68.32840728909319,-44.8882779333852,10021,5,-65,-43,0.17967568611105283
8447,4710,69,8447,CB,Ve-VIIIB,VIIIB,1110739,93,119,134,1.5387249511269598,-62.0556069014864,-35.0093032067075,10021,5,-62,-32,0.3937745967081615
8360,4707,69,8360,CB,Ve-VIIAt,VIIAt,1110736,93,109,150,2.25405472324544,-78.9323388495814,-22.96564466435349,10021,4,-78,-18,0.7377433606556484
8368,4708,69,8368,CB,Ve-VIIB,VIIB,1110740,93,113,145,2.08876581604562,-74.1422925440148,-27.6628666349286,10021,4,-72,-24,0.5767526408800712
8376,4709,69,8376,CB,Ve-VIIIA,VIIIA,1110741,93,122,141,1.9831750731955904,-71.09999837026979,-38.0368514734252,10021,5,-68,-35,0.2059207053648101
8384,4710,69,8384,CB,Ve-VIIIB,VIIIB,1110742,93,127,135,2.15594397297111,-64.6955658466016,-44.13960793281421,10021,4,-62,-42,0.2640603044629097
8410,4720,71,8410,CB,PV-V,"V, left, paravermis",1110775,104,107,125,-14.70333946998,-51.1569693830103,-18.57765993978889,10021,-9,-51,-15,0.15096158631469891
8418,4720,71,8418,CB,PV-V,"V, left, paravermis",1110776,104,101,134,-13.0469406648195,-61.7243069528113,-12.3874941129314,10021,-9,-61,-9,0.38263502246455144
8378,4722,71,8378,CB,PV-VI,"VI, left, paravermis",1110769,104,107,149,-11.326249318483,-78.17928307274221,-19.5122563094545,10021,-9,-77,-16,0.7055338356229994
8386,4723,71,8386,CB,PV-Crus I,"Crus I, left, paravermis",1110771,104,117,157,-10.1758623918057,-85.82946759453091,-30.1533841870081,10021,-10,-84,-27,0.6175059356859752
8394,4722,71,8394,CB,PV-VI,"VI, left, paravermis",1110770,104,107,142,-11.5493326643161,-70.030374679598,-20.3150271006649,10021,-8,-69,-17,0.5879196270423777
8433,4728,71,8433,CB,PV-IX,"IX, left, paravermis",1110763,104,134,127,-11.4531362059236,-54.930331004104296,-51.878066112525,10021,-8,-52,-48,0.3627940079099254
8441,4730,71,8441,CB,PV-X,"X, left, paravermis",1110765,104,128,121,-10.833333583419304,-48.09070213874471,-44.30960031427421,10021,-7,-47,-41,0.21969907096138708
8449,4727,71,8449,CB,PV-VIIIB,"VIIIB, left, paravermis",1110759,104,138,129,-10.728856888705302,-57.026141487378304,-56.1301275411971,10021,-8,-54,-54,0.637111668586731
8362,4728,71,8362,CB,PV-IX,"IX, left, paravermis",1110764,104,132,127,-11.6643876732094,-54.752409869476,-49.535608605121496,10021,-8,-53,-46,0.22889792770147324
8370,4730,71,8370,CB,PV-X,"X, left, paravermis",1110766,105,121,115,-10.6768921202,-41.4527888822367,-36.495331289674,10021,-10,-41,-33,0.36774885654449463
8393,4725,71,8393,CB,PV-VIIB,"VIIB, left, paravermis",1110753,104,133,152,-10.2954066615255,-80.572548803576,-50.5193067274249,10021,-8,-80,-46,0.5741443387840105
8401,4726,71,8401,CB,PV-VIIIA,"VIIIA, left, paravermis",1110755,104,136,146,-10.9490457203539,-74.83549277527709,-53.7356833548246,10021,-8,-73,-50,0.5290342484201703
8409,4725,71,8409,CB,PV-VIIB,"VIIB, left, paravermis",1110754,104,126,146,-11.5177314358357,-75.6457038452617,-41.94486026829461,10021,-9,-73,-39,0.6369468591831349
8417,4726,71,8417,CB,PV-VIIIA,"VIIIA, left, paravermis",1110756,104,135,140,-10.2283552543283,-69.4025659580674,-52.7130885857972,10021,-7,-67,-50,0.28480438590049745
8371,4738,74,8371,CB,He-VI,"VI, left, lateral hemisphere",1110881,124,110,134,-33.6928882116282,-61.3308134671571,-21.3383215788601,10021,-31,-60,-20,0.5760460022617789
8379,4741,74,8379,CB,He-VIIB,"VIIB, left, lateral hemisphere",1110897,123,137,124,-33.2790019291181,-51.52672805119021,-52.2981796510727,10021,-29,-49,-52,0.3512934280766381
8387,4741,74,8387,CB,He-VIIB,"VIIB, left, lateral hemisphere",1110898,123,140,126,-32.4710541378642,-54.0630672893745,-54.8042278333177,10021,-28,-51,-56,0.3013210871389934
8426,4739,74,8426,CB,He-Crus I,"Crus I, left, lateral hemisphere",1110868,124,114,146,-34.274637327055004,-74.4805922397935,-27.474981071700807,10021,-31,-73,-25,0.7849051859229803
8434,4740,74,8434,CB,He-Crus II,"Crus II, left, lateral hemisphere",1110870,123,141,138,-30.744403611844696,-67.2355579092833,-60.0098356699172,10021,-28,-64,-56,0.5771250128746033
8442,4739,74,8442,CB,He-Crus I,"Crus I, left, lateral hemisphere",1110869,123,126,149,-30.6568588665103,-78.0955030193223,-41.0524198095749,10021,-29,-76,-39,0.28749593740536106
8450,4740,74,8450,CB,He-Crus II,"Crus II, left, lateral hemisphere",1110872,123,132,129,-33.5341325613785,-56.8922124067194,-48.21582521639201,10021,-29,-54,-47,0.4812924000951979
8411,4739,75,8411,CB,He-Crus I,"Crus I, left, lateral hemisphere",1110911,134,125,115,-45.3526120432174,-43.5051385462123,-38.2642948488904,10021,-42,-41,-37,0.8153112219727557
8419,4740,75,8419,CB,He-Crus II,"Crus II, left, lateral hemisphere",1110910,133,133,117,-42.41206266165079,-45.49072151817221,-46.1806687870758,10021,-40,-42,-48,0.7566993644363001
14139,4720,62,14139,CB,PV-V,"V, left, paravermis",1313847,97,114,153,-5.19155242697163,-65.3719068525308,-7.969398460090819,12876,-2,-62,-6,0.48518607249626744
14099,4724,62,14099,CB,PV-Crus II,"Crus II, left, paravermis",1313885,98,145,173,-8.57555933830579,-81.1631951684423,-33.1649160832553,12876,-4,-79,-35,0.7213272312108208
