"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Rhoj",0.000280337318215768,1.06755386637964e-05,94,494,3.36729582998647,0.693147180559945,5.93889262985362e-68,2.67414864942653,14.5,75,113,27.7480945324446,22.1394371269505,33.3567519379387,TRUE,TRUE,TRUE,FALSE,TRUE
"Sh3bgrl",0.000420540573692946,1.95671220149046e-05,153,837,3.76120011569356,1.09861228866811,3.52842250115764e-107,2.66258782702545,14.3333333333333,129,178,45.164451738979,38.0798318583548,52.5442641146292,TRUE,TRUE,TRUE,FALSE,TRUE
"Crip2",0.000562868365767635,2.80117012326048e-05,153,1156,4.04305126783455,1.38629436111989,3.79230283242786e-89,2.65675690671466,14.25,129,178,45.164451738979,38.0798318583548,52.5442641146292,TRUE,TRUE,TRUE,FALSE,TRUE
"Dmd",0.000411924671286307,2.36370592299791e-05,109,925,3.73766961828337,1.09861228866811,1.78112133031839e-59,2.63905732961526,14,89,130,32.1759819578347,26.2721320573146,38.3750243533808,TRUE,TRUE,TRUE,FALSE,TRUE
"Bicc1",0.000126770884190871,1.36612139968337e-06,72,61,2.63905732961526,0,1.39902057203368e-96,2.63905732961526,14,56,89,21.2538596418725,16.5307797214564,26.2721320573146,TRUE,TRUE,TRUE,FALSE,TRUE
"Cnn1",0.000129414326224066,1.74966306278477e-07,56,3,2.63905732961526,0,1.37052673481268e-100,2.63905732961526,14,42,71,16.5307797214564,12.3980847910923,20.9586671468465,TRUE,TRUE,TRUE,FALSE,TRUE
"Dcdc2a",0.00013250442219917,1.39160969669473e-06,67,59,2.63905732961526,0,2.93028621592491e-89,2.63905732961526,14,51,83,19.7778971667424,15.0548172463263,24.5009770871585,TRUE,TRUE,TRUE,FALSE,TRUE
"Fbln1",0.00013070876659751,2.32367683797977e-06,84,83,2.63905732961526,0,1.07994565464863e-108,2.63905732961526,14,67,102,24.7961695821845,19.7778971667424,30.1096344926527,TRUE,TRUE,TRUE,FALSE,TRUE
"Islr",0.000132741579502075,6.37245006950344e-07,73,25,2.63905732961526,0,8.87849451069999e-114,2.63905732961526,14,57,90,21.5490521368985,16.8259722164824,26.5673245523406,TRUE,TRUE,TRUE,FALSE,TRUE
"Rcsd1",0.000127357111286307,1.44018608695652e-06,40,46,2.63905732961526,0,8.36414937496243e-51,2.63905732961526,14,28,53,11.8076998010403,8.26538986072818,15.6452022363783,TRUE,TRUE,TRUE,FALSE,TRUE
"Wtip",0.000130999464896266,1.28481456220558e-06,45,43,2.63905732961526,0,1.99006851237952e-59,2.63905732961526,14,32,59,13.2836622761703,9.44615984083221,17.4163572065344,TRUE,TRUE,TRUE,FALSE,TRUE
"Anxa5",0.00067296227219917,3.91139655517414e-05,230,1725,4.21950770517611,1.6094379124341,1.22557929168227e-133,2.61006979274201,13.6,201,260,67.8942738559815,59.3336915002273,76.7500487067617,TRUE,TRUE,TRUE,FALSE,TRUE
"Ccnd2",0.00025610795439834,5.79996727739594e-06,93,282,3.29583686600433,0.693147180559945,8.370194887519e-86,2.60268968544438,13.5,75,112,27.4529020374186,22.1394371269505,33.0615594429127,TRUE,TRUE,TRUE,FALSE,TRUE
"Nes",0.000263994278174274,1.11767290458723e-05,78,359,3.29583686600433,0.693147180559945,1.77366249396207e-60,2.60268968544438,13.5,61,96,23.0250146120285,18.0067421965864,28.3384795224966,TRUE,TRUE,TRUE,FALSE,TRUE
"Gsn",0.000385221889336099,1.63182746495868e-05,152,858,3.68887945411394,1.09861228866811,9.53462794952167e-105,2.59026716544583,13.3333333333333,128,177,44.869259243953,37.7846393633288,52.2490716196031,TRUE,TRUE,TRUE,FALSE,TRUE
"Alcam",0.00064774075593361,4.18911339289134e-05,386,1598,4.18965474202643,1.6094379124341,1.18902075438201e-306,2.58021682959232,13.2,348,425,113.944303080038,102.72698826905,125.456810386053,TRUE,TRUE,TRUE,FALSE,TRUE
"Apold1",0.000246692978298755,6.35678108626149e-06,62,220,3.25809653802148,0.693147180559945,2.70802717800679e-54,2.56494935746154,13,47,78,18.3019346916124,13.8740472662223,23.0250146120285,TRUE,TRUE,TRUE,FALSE,TRUE
"Cped1",0.00011958043,7.14392385512395e-08,48,7,2.56494935746154,0,6.56190237611972e-82,2.56494935746154,13,35,62,14.1692397612483,10.3317373259102,18.3019346916124,TRUE,TRUE,TRUE,FALSE,TRUE
"Lrrc32",0.000117832319128631,3.22279043169357e-07,44,14,2.56494935746154,0,8.49301102672064e-70,2.56494935746154,13,31,57,12.9884697811443,9.1509673458062,16.8259722164824,TRUE,TRUE,TRUE,FALSE,TRUE
"Npy1r",0.000118252909543568,2.32424882037223e-07,48,10,2.56494935746154,0,1.62029988610748e-79,2.56494935746154,13,35,62,14.1692397612483,10.3317373259102,18.3019346916124,TRUE,TRUE,TRUE,FALSE,TRUE
"Pdgfra",0.000124723612489627,3.33493052282029e-06,52,84,2.56494935746154,0,5.49125392598094e-60,2.56494935746154,13,38,67,15.3500097413523,11.2173148109882,19.7778971667424,TRUE,TRUE,TRUE,FALSE,TRUE
