"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"Cell Activation",0.577586206896552,-0.360501567398119,0.452107279693487,-0.306752873563219,-0.310344827586207,0.333333333333333,-0.259578544061303,-0.566243194192378,-0.35045742434905,0.361702127659574,-0.241379310344828,0.375773651635721,-0.331370899915896,-0.572595281306715,-0.614500442086649,-0.339781328847771,0.397949673811743,-0.598419540229885,-0.360837438423645,-0.701477832512315,-0.402586206896552,0.264367816091954,-0.448275862068966,-0.397701149425288,0.310344827586207,0.363124560168895,0.448275862068966,0.310344827586207,0.452586206896552,-0.413793103448276,0.724137931034483,0.488726790450928,-0.440029985007496,-0.347826086956522,0.549808429118774,-0.380952380952381,-0.580762250453721,0.346469622331691,0.227586206896552,0.452586206896552,0.446633825944171,-0.427286356821589,-0.31992337164751,0.559322033898305,0.622914349276974,0.334051724137931,0.48132183908046,-0.690438871473354,-0.521551724137931,-0.350132625994695,-0.275862068965517,0.385579937304075,-0.356739811912226,0.487586206896552,-0.355555555555556,0.436537050623624,0.279871692060946,-0.305533279871692,0.34072249589491,0.649014778325123
"Cell Activation Involved In Immune Response",-0.516129032258065,-0.416666666666667,0.395,-0.670955882352941,-0.68125,-0.3125,-0.71875,-0.84375,-0.375,-0.670955882352941,-0.760416666666667,-0.5625,-0.5625,-0.6875,-0.625,0.46625,-0.625,-0.68125,0.6875,-0.71875,-0.6875,-0.580882352941176,-0.40625,-0.6375,-0.5625,0.65625,-0.40625,0.447916666666667,-0.5,-0.526785714285714,0.71875,0.875,-0.625,0.589673913043478,0.726973684210526,-0.375,-0.674342105263158,-0.4375,0.59375,-0.65625,0.336309523809524,0.484879032258065,0.59375,0.484879032258065,1,-0.625,0.465277777777778,-0.581730769230769,-0.506578947368421,0.639705882352941,-0.338815789473684,0.770833333333333,0.653846153846154,0.8125,0.572916666666667,0.875,0.726973684210526,0.493055555555556,0.741666666666667,0.90625
"Cell Cell Adhesion",0.438709677419355,-0.421252371916508,-0.385752688172043,-0.225806451612903,-0.455197132616487,0.425,-0.612903225806451,-0.650853889943074,0.419354838709677,-0.581885856079404,-0.32258064516129,-0.442396313364055,-0.619915848527349,-0.639999999999999,-0.751710654936461,0.603225806451613,0.467741935483871,-0.838709677419354,-0.423225806451613,-0.741935483870967,-0.535679374389052,0.491039426523298,-0.419354838709677,-0.602150537634408,0.356451612903226,-0.571428571428571,0.419354838709678,-0.483870967741935,0.800248138957816,0.612903225806452,0.709677419354839,-0.418242491657397,0.80952380952381,0.617302052785924,0.385984427141268,-0.457142857142857,-0.387096774193548,0.607741935483871,0.300248138957816,0.463225806451613,-0.431451612903226,0.767741935483871,-0.47394540942928,0.449308755760369,0.70347394540943,0.511921458625526,0.573313782991203,-0.559677419354838,0.612903225806452,-0.408918406072106,-0.575682382133995,-0.451612903225806,-0.806451612903225,-0.381336405529954,0.586510263929619,0.685483870967742,0.555831265508685,0.535483870967742,0.463594470046083,0.461693548387097
"Cell Cell Signaling",0.413793103448276,-0.281992337164751,-0.206896551724138,-0.363636363636364,-0.6657824933687,-0.463715903242409,-0.574074074074074,0.504625735912531,-0.452978056426332,0.348419540229885,0.36551724137931,-0.351458885941645,-0.554446460980036,-0.45026525198939,-0.548343475321163,-0.496715927750411,0.335753176043557,0.380172413793103,-0.549808429118774,0.362068965517241,0.344827586206896,0.34,-0.678395496129486,0.492537313432836,0.304137931034483,-0.370922646784716,-0.415047021943574,0.289124668435013,0.384012539184953,0.453065134099617,0.827586206896552,0.455172413793103,-0.310344827586207,0.360501567398119,0.386569872958258,0.448275862068965,-0.600313479623825,0.574410163339383,0.38128078817734,0.574353448275862,0.750718390804598,0.275862068965517,0.4157824933687,0.324137931034483,-0.449553001277139,0.726436781609195,0.730603448275862,-0.476709013914096,-0.310344827586207,-0.547254150702427,0.548387096774194,0.369971264367816,0.476551724137931,0.635579937304075,0.470522803114572,0.275862068965517,0.611111111111111,-0.514367816091954,-0.293103448275862,0.459459459459459
"Cell Cycle",-0.527649769585253,0.605990783410138,0.695014662756598,-0.600496277915632,0.344086021505376,-0.26099706744868,0.659677419354839,0.5,0.730715287517532,0.769414575866189,-0.801672640382317,0.838709677419355,0.658303464755078,0.689303904923599,0.559907834101383,-0.436491935483871,0.53125,0.666295884315907,0.32258064516129,0.658602150537634,-0.315412186379928,-0.336559139784946,0.612903225806452,0.370967741935484,0.404233870967742,0.709677419354839,0.387096774193548,0.649769585253456,0.387096774193548,-0.728110599078341,0.483870967741936,0.505376344086022,-0.774193548387096,0.501075268817204,0.5,-0.794044665012406,0.588709677419355,-0.614143920595533,-0.522273425499232,-0.574193548387096,0.414634146341463,-0.525448028673835,0.626588465298143,-0.677419354838709,-0.299539170506912,-0.935483870967741,-0.354838709677419,0.67741935483871,-0.709677419354838,0.708333333333333,-0.706912442396313,0.593701996927803,0.290322580645161,-0.457142857142857,-0.578225806451613,0.354838709677419,-0.470588235294117,-0.495852534562212,-0.562847608453837,-0.387096774193548
"Cell Cycle Process",-0.34375,0.6875,0.730654761904762,-0.59375,0.6875,-0.3125,0.766826923076923,-0.761029411764706,0.803571428571429,0.8125,-0.84375,0.875,0.8125,0.690340909090909,0.35,-0.851102941176471,0.708333333333333,0.597222222222222,0.5625,0.78125,0.71875,-0.42625,0.59375,-0.71875,0.770833333333333,0.6875,0.53125,0.6875,0.365489130434783,-0.875,0.46875,0.700892857142857,-0.75,-0.6875,0.548387096774194,-0.875,0.64375,-0.580882352941176,0.5625,-0.34375,0.653846153846154,-0.90625,0.619318181818182,-0.6875,-0.541666666666667,-0.96875,0.625,0.6875,-0.761904761904762,0.5625,-0.525297619047619,0.90625,0.51875,0.559210526315789,-0.90625,-0.625,-0.761904761904762,-0.84375,-0.84375,-0.65625
"Cell Growth",-0.40625,-0.55625,-0.375,-0.5,-0.683035714285714,-0.367559523809524,-0.524305555555556,-0.8125,-0.870833333333333,0.540178571428571,-0.8125,0.389204545454545,0.78125,0.8125,0.78125,-0.55,-0.75,0.34375,-0.310661764705882,0.489583333333333,0.75,0.64375,-0.666666666666667,-0.75,0.473214285714286,-0.34375,-0.34375,0.5625,-0.367559523809524,0.540178571428571,0.598214285714286,-0.59375,-0.38125,-0.599431818181818,0.502083333333333,0.59375,0.59375,-0.798076923076923,-0.3125,0.65625,0.60875,-0.615384615384615,0.589673913043478,-0.71875,0.6875,-0.56875,0.59375,0.696022727272727,-0.666666666666667,0.65625,0.566666666666667,0.909926470588235,0.75,0.90625,-0.798076923076923,-0.46875,0.772727272727273,-0.590460526315789,-0.53125,-0.625
"Cell Junction Assembly",-0.40625,-0.525297619047619,0.423611111111111,-0.5,-0.650568181818182,0.561342592592593,-0.802083333333333,0.741666666666667,0.502083333333333,0.444711538461538,-0.599431818181818,-0.8125,0.568181818181818,0.65625,0.875,-0.75,0.5375,-0.28125,-0.8125,0.389204545454545,0.545833333333333,-0.625,-0.84375,-0.5,-0.42625,-0.40625,-0.78125,-0.473557692307692,0.8125,0.810855263157895,0.75,-0.375,0.59375,0.51875,0.730654761904762,0.46875,-0.368055555555556,0.766826923076923,-0.59375,0.53125,0.909926470588235,0.59375,-0.71875,-0.71875,0.424768518518518,0.8125,0.59375,0.484879032258065,-0.28125,-0.367559523809524,0.85,0.839583333333333,0.909926470588235,0.489583333333333,0.690340909090909,-0.55,0.653846153846154,-0.6375,0.40625,-0.875
"Cell Junction Organization",-0.40625,-0.525297619047619,0.423611111111111,-0.5,-0.650568181818182,0.561342592592593,-0.802083333333333,0.741666666666667,0.502083333333333,0.444711538461538,-0.599431818181818,-0.8125,0.568181818181818,0.65625,0.875,-0.75,0.5375,-0.28125,-0.8125,0.389204545454545,0.545833333333333,-0.625,-0.84375,-0.5,-0.42625,-0.40625,-0.78125,-0.473557692307692,0.8125,0.810855263157895,0.75,-0.375,0.59375,0.51875,0.730654761904762,0.46875,-0.368055555555556,0.766826923076923,-0.59375,0.53125,0.909926470588235,0.59375,-0.71875,-0.71875,0.424768518518518,0.8125,0.59375,0.484879032258065,-0.28125,-0.367559523809524,0.85,0.839583333333333,0.909926470588235,0.489583333333333,0.690340909090909,-0.55,0.653846153846154,-0.6375,0.40625,-0.875
"Cell Migration",0.78125,-0.40625,0.90625,-0.447916666666667,0.607638888888889,-0.65625,0.559210526315789,-0.761904761904762,-0.628472222222222,0.80952380952381,-0.367559523809524,0.857638888888889,0.510416666666667,-0.689903846153846,-0.4375,-0.84375,-0.46875,0.690340909090909,0.5625,-0.496527777777778,-0.46875,-0.541666666666667,-0.59375,0.40625,0.625,0.8125,0.726973684210526,0.369485294117647,-0.834821428571429,-0.8125,0.772727272727273,0.75,-0.90625,-0.78125,0.8125,0.4375,-0.90625,-0.761029411764706,-0.625,0.545833333333333,0.84375,-0.875,0.5625,0.909926470588235,0.625,0.40625,-0.5625,-0.84375,-0.90625,0.46875,0.65,0.770833333333333,0.71875,0.8125,-0.75,-0.524305555555556,-0.670955882352941,-0.71875,-0.59375,0.8125
