"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"Cell Activation Involved In Immune Response",-0.516129032258065,-0.34375,-0.715277777777778,-0.6875,0.46875,-0.90625,-0.9375,-0.53125,-0.375,-0.65625,-0.28125,-0.367559523809524,-0.75,0.5625,-0.78125,-0.577083333333333,-0.71875,0.415178571428571,0.589673913043478,0.447916666666667,-0.490808823529412,0.772727272727273,0.5625,0.75,-0.34375,-0.473557692307692,-0.416666666666667,-0.581730769230769,0.60625,-0.5,-0.46875,0.44375,-0.580882352941176,-0.46875,0.875,0.75,0.819852941176471,0.803571428571429,0.540178571428571,0.8125
"Cell Cell Adhesion",0.459459459459459,-0.39516129032258,-0.258064516129032,0.32258064516129,-0.551724137931034,-0.57685009487666,-0.372983870967742,-0.612903225806451,-0.32258064516129,-0.626550868486352,-0.376344086021505,-0.625448028673835,-0.35752688172043,-0.592741935483871,-0.838709677419354,0.501075268817204,0.495161290322581,-0.580645161290322,-0.50752688172043,-0.387096774193548,0.612903225806452,0.424884792626728,0.709677419354839,-0.392706872370266,-0.436491935483871,0.695014662756598,0.645161290322581,-0.282642089093702,0.38899430740038,0.539589442815249,0.729646697388633,0.541935483870968,0.419354838709678,-0.533333333333333,-0.696480938416422,-0.362519201228879,0.685483870967742,0.616935483870968,0.908918406072106,0.409677419354839
"Cell Cell Signaling",0.310344827586207,0.293103448275862,-0.514367816091954,-0.792440318302387,-0.371872887085869,-0.272030651340996,-0.465517241379311,0.492296404988995,-0.499178981937603,-0.410919540229885,-0.773209549071618,-0.372093023255814,0.304731355252606,-0.617171006333568,0.402054292002935,0.346938775510204,-0.577586206896552,0.6,-0.29064039408867,0.448275862068965,0.413793103448276,0.758620689655172,-0.275862068965517,0.548659003831418,-0.241379310344828,-0.275862068965517,0.35832083958021,0.678650036683786,0.392803598200899,-0.290491118077325,0.758620689655172,0.593103448275862,0.425,0.348419540229885,-0.363636363636364,0.534849596478357,0.310344827586207,0.538877620013523,-0.379310344827586,0.472222222222222
"Cell Cycle",-0.573118279569892,0.629677419354839,-0.451612903225806,0.300509337860781,0.70347394540943,0.441687344913151,0.622720897615708,0.686379928315412,0.645161290322581,0.774193548387097,0.5,0.645161290322581,0.67357910906298,-0.580645161290322,0.56989247311828,0.412634408602151,-0.388709677419355,0.645161290322581,0.469086021505376,0.69727047146402,-0.888888888888888,0.580645161290323,-0.903225806451612,0.56989247311828,-0.535980148883374,-0.551782682512733,-0.698641765704584,-0.421836228287841,0.5,-0.387096774193548,-0.838709677419354,0.451612903225807,-0.642396313364055,-0.451612903225806,0.586206896551724,-0.551724137931034,-0.544251447477254,-0.484848484848485,-0.540860215053763,0.385398981324278
"Cell Cycle Process",-0.34375,0.71875,0.5625,0.690340909090909,0.944444444444444,-0.65625,0.71875,0.75,0.625,0.90625,-0.580882352941176,0.625,0.607142857142857,-0.59375,0.839583333333333,0.559210526315789,-0.760416666666667,0.75,0.6875,0.78125,-0.941176470588235,0.59375,-0.90625,0.78125,-0.625,-0.4375,-0.497159090909091,0.5625,-0.400735294117647,-0.65625,-0.8125,0.625,-0.422697368421053,-0.802083333333333,1,0.625,-0.90625,-0.761904761904762,-0.78125,-0.75
"Cell Growth",-0.68125,-0.55625,0.53125,-0.834821428571429,0.53125,-0.65625,-0.695652173913043,-0.368055555555556,-0.490808823529412,0.875,0.65625,0.65625,-0.6875,-0.645833333333333,0.729779411764706,0.6875,-0.870833333333333,-0.620923913043478,0.395,0.770833333333333,-0.592592592592593,0.625,-0.834821428571429,0.741666666666667,0.307565789473684,-0.71875,-0.338815789473684,0.653846153846154,0.40625,-0.5625,-0.456018518518519,0.90625,0.607142857142857,-0.485991379310345,0.944444444444444,0.78125,-0.798076923076923,0.643092105263158,-0.71875,-0.5625
"Cell Junction Assembly",-0.59375,-0.40625,-0.5,-0.525297619047619,-0.485991379310345,-0.4375,0.515151515151515,0.5375,-0.71875,0.84375,0.78125,0.65,0.549632352941177,-0.84375,0.598214285714286,-0.53125,-0.84375,0.484879032258065,-0.732142857142857,-0.5,0.625,0.6875,0.65,0.639705882352941,0.614583333333333,0.3125,-0.71875,1,-0.59375,-0.834821428571429,0.71875,0.78125,0.548387096774194,0.643092105263158,0.607638888888889,0.68,0.53125,0.46625,-0.53125,-0.772916666666667
"Cell Junction Organization",-0.59375,-0.40625,-0.5,-0.525297619047619,-0.485991379310345,-0.4375,0.515151515151515,0.5375,-0.71875,0.84375,0.78125,0.65,0.549632352941177,-0.84375,0.598214285714286,-0.53125,-0.84375,0.484879032258065,-0.732142857142857,-0.5,0.625,0.6875,0.65,0.639705882352941,0.614583333333333,0.3125,-0.71875,1,-0.59375,-0.834821428571429,0.71875,0.78125,0.548387096774194,0.643092105263158,0.607638888888889,0.68,0.53125,0.46625,-0.53125,-0.772916666666667
"Cell Migration",0.90625,0.729166666666667,0.548387096774194,-0.65625,0.59375,-0.42625,-0.59375,0.85,0.6875,0.495535714285714,-0.65625,-0.78125,-0.59375,0.684027777777778,-0.6875,-0.39375,-0.96875,0.766826923076923,0.96875,0.690340909090909,-0.875,0.90625,-0.8125,-0.422697368421053,-0.4375,-0.8125,-0.3125,0.59375,-0.6875,0.76875,-0.5625,-0.78125,-0.8125,-0.599431818181818,0.71875,0.6875,-0.888888888888889,-0.870833333333333,-0.75,0.65625
"Cell Projection Organization",0.803571428571429,-0.834821428571429,0.944444444444444,-0.670955882352941,-0.71875,0.389204545454545,-0.842105263157895,0.62962962962963,0.514423076923077,0.8125,0.495535714285714,0.279411764705882,-0.5,0.489583333333333,-0.4375,0.59375,-0.9375,-0.90625,0.540178571428571,-0.5625,-0.447916666666667,0.6875,-0.870833333333333,0.416666666666667,-0.3125,-0.75,-0.400735294117647,0.80952380952381,-0.625,0.46875,0.741666666666667,-0.485991379310345,0.653846153846154,0.514945652173913,0.5625,0.739130434782609,-0.941176470588235,-0.4375,-0.375,0.4375
